Student Number,Age,Gender,Residency,Class Standing,Scholarship,Study_Hours_Per_Week,Attendance_Rate,Y1_GWA,Y2_GWA,Y3_GWA,Y4_GWA,GPA_Trend,Final_GWA,Performance_Category
22-00001,20,Male,Dorm,Regular,Yes,31,97,1.77,1.58,1.54,1.55,Stable,1.63,Excellent
22-00002,23,Male,Family House,Regular,Yes,14,75,2.39,2.17,2.1,2.12,Stable,2.21,At-Risk
22-00003,24,Male,Family House,Regular,No,28,95,1.63,1.68,1.57,1.82,Stable,1.66,Good
22-00004,24,Male,Family House,Regular,No,34,91,1.79,1.62,1.47,1.77,Stable,1.66,Good
22-00005,23,Male,Dorm,Regular,No,27,82,1.88,1.85,1.72,2.02,Stable,1.85,Good
22-00006,22,Male,Family House,Regular,No,30,89,1.64,1.81,1.71,1.9,Stable,1.74,Good
22-00007,23,Male,Family House,Regular,No,27,97,1.49,1.57,1.65,1.5,Stable,1.56,Excellent
22-00008,20,Male,Family House,Regular,Yes,34,99,1.56,1.53,1.46,1.35,Stable,1.49,Excellent
22-00009,22,Female,Family House,Regular,Yes,17,73,2.13,2.08,1.92,2.1,Stable,2.06,Good
22-00010,24,Female,Family House,Regular,No,30,83,1.82,1.62,1.76,2.12,Stable,1.8,Good
22-00011,20,Female,Family House,Regular,No,37,92,1.64,1.64,1.65,1.95,Declining,1.69,Good
22-00012,21,Female,Family House,Irregular,No,17,82,2.2,2.29,1.83,2.27,Stable,2.14,At-Risk
22-00013,22,Female,Family House,Regular,No,28,95,1.79,2.07,1.86,2.12,Declining,1.93,Good
22-00014,22,Male,Family House,Regular,No,10,80,2.08,2.33,2.4,2.23,Stable,2.26,At-Risk
22-00015,21,Female,Family House,Regular,No,17,90,1.85,1.92,2.01,1.8,Stable,1.9,Good
22-00016,23,Female,Family House,Regular,Yes,30,100,1.55,1.5,1.58,1.4,Stable,1.52,Excellent
22-00017,20,Female,Dorm,Regular,No,30,90,1.81,1.89,1.76,1.5,Improving,1.77,Good
22-00018,24,Female,Family House,Irregular,Yes,17,77,1.95,2.15,1.46,2.12,Stable,1.9,Good
22-00019,24,Female,Family House,Regular,No,30,91,1.6,1.97,1.81,1.82,Stable,1.79,Good
22-00020,21,Female,Dorm,Irregular,Yes,33,88,2.25,1.69,1.5,1.55,Improving,1.79,Good
22-00021,23,Female,Family House,Irregular,No,33,100,2.06,1.68,1.47,1.52,Improving,1.72,Good
22-00022,21,Female,Family House,Regular,No,22,85,1.93,2.03,1.61,2.02,Stable,1.88,Good
22-00023,24,Male,Dorm,Regular,Yes,21,97,1.55,1.72,1.74,1.88,Declining,1.69,Good
22-00024,23,Female,Family House,Regular,No,27,85,2.11,1.74,1.81,1.7,Improving,1.87,Good
22-00025,22,Male,Dorm,Regular,No,24,84,1.93,1.96,2.03,1.98,Stable,1.97,Good
22-00026,20,Female,Family House,Regular,No,27,95,1.65,1.71,1.65,1.82,Stable,1.69,Good
22-00027,23,Male,Family House,Regular,Yes,18,85,2.21,1.94,1.9,1.93,Stable,2.01,Good
22-00028,24,Male,Family House,Regular,No,25,98,1.89,1.38,1.54,1.48,Improving,1.6,Excellent
22-00029,20,Female,Family House,Regular,No,13,84,2.06,2.15,2.26,2.48,Declining,2.2,At-Risk
22-00030,21,Male,Dorm,Regular,Yes,19,80,2.04,2.21,2.12,1.95,Stable,2.09,Good
22-00031,21,Female,Family House,Regular,No,23,84,2.12,1.89,1.79,1.9,Stable,1.94,Good
22-00032,24,Female,Family House,Regular,Yes,31,91,1.74,1.86,1.61,1.65,Stable,1.72,Good
22-00033,22,Female,Dorm,Regular,Yes,26,92,1.96,1.96,1.74,1.5,Improving,1.83,Good
22-00034,23,Male,Dorm,Irregular,No,31,91,2.08,1.57,1.62,1.6,Improving,1.75,Good
22-00035,22,Male,Family House,Regular,No,28,93,1.85,1.75,1.68,1.93,Stable,1.79,Good
22-00036,20,Female,Family House,Regular,No,30,95,1.61,1.58,1.85,1.73,Stable,1.68,Good
22-00037,24,Female,Family House,Regular,No,15,92,1.86,1.75,2.12,1.7,Stable,1.88,Good
22-00038,24,Male,Family House,Regular,No,17,88,1.86,1.97,1.79,1.95,Stable,1.88,Good
22-00039,24,Male,Family House,Regular,No,30,88,1.77,1.61,1.99,1.82,Stable,1.79,Good
22-00040,22,Male,Family House,Regular,Yes,19,74,2.13,2.18,2.18,1.9,Stable,2.12,At-Risk
22-00041,23,Female,Family House,Regular,No,27,91,2.01,1.86,2.01,1.8,Stable,1.94,Good
22-00042,23,Female,Dorm,Regular,No,15,77,2.36,2.15,2.06,2.35,Stable,2.22,At-Risk
22-00043,24,Male,Dorm,Regular,No,22,84,1.81,2.1,1.97,1.85,Stable,1.94,Good
22-00044,21,Female,Family House,Regular,No,35,97,1.39,1.53,1.57,1.65,Stable,1.51,Excellent
22-00045,23,Male,Family House,Regular,No,21,85,1.94,1.9,1.92,1.8,Stable,1.9,Good
22-00046,20,Female,Family House,Regular,No,29,94,1.83,2.04,1.79,1.52,Improving,1.83,Good
22-00047,23,Male,Family House,Regular,Yes,14,75,2.13,2.06,2.1,1.98,Stable,2.08,Good
22-00048,20,Male,Family House,Regular,No,26,83,1.74,2.03,1.83,1.9,Stable,1.87,Good
22-00049,23,Female,Dorm,Regular,Yes,24,97,1.83,1.62,1.75,1.88,Stable,1.76,Good
22-00050,21,Female,Family House,Regular,No,16,86,1.98,1.93,1.76,1.95,Stable,1.9,Good
22-00051,22,Male,Family House,Irregular,No,22,80,2.21,1.96,1.64,1.95,Stable,1.95,Good
22-00052,21,Male,Dorm,Regular,No,17,85,2.06,2.12,1.78,1.6,Improving,1.93,Good
22-00053,24,Male,Family House,Regular,Yes,18,85,1.95,2.11,2.11,2.25,Stable,2.08,Good
22-00054,22,Female,Family House,Regular,No,23,89,1.82,1.74,1.99,2.05,Stable,1.88,Good
22-00055,20,Male,Dorm,Regular,No,28,93,1.89,1.89,1.86,1.77,Stable,1.87,Good
22-00056,24,Female,Dorm,Regular,No,30,95,1.56,1.62,1.53,1.52,Stable,1.56,Excellent
22-00057,21,Male,Family House,Irregular,No,16,85,2.3,1.96,1.61,2.02,Stable,1.98,Good
22-00058,22,Male,Family House,Regular,No,21,87,1.93,1.88,1.89,2.38,Declining,1.97,Good
22-00059,20,Female,Family House,Regular,No,40,94,1.54,1.56,1.6,1.35,Stable,1.53,Excellent
22-00060,22,Male,Family House,Regular,Yes,28,98,1.51,1.58,1.46,1.57,Stable,1.53,Excellent
22-00061,23,Female,Dorm,Regular,Yes,38,100,1.39,1.43,1.6,1.5,Stable,1.47,Excellent
22-00062,22,Male,Family House,Regular,No,19,88,1.89,1.93,1.82,1.98,Stable,1.9,Good
22-00063,24,Female,Family House,Irregular,No,9,85,2.13,2.06,1.83,2.15,Stable,2.03,Good
22-00064,21,Male,Dorm,Irregular,No,15,92,2.18,1.85,1.81,1.9,Stable,1.95,Good
22-00065,20,Female,Family House,Regular,Yes,28,82,1.77,1.99,1.99,1.73,Stable,1.88,Good
22-00066,24,Male,Family House,Regular,No,22,83,1.81,2.03,2.01,1.8,Stable,1.92,Good
22-00067,22,Male,Family House,Regular,No,36,92,1.63,1.71,1.61,1.55,Stable,1.63,Excellent
22-00068,22,Female,Family House,Regular,No,9,71,2.06,2.19,2.35,2.05,Stable,2.17,At-Risk
22-00069,23,Male,Family House,Regular,Yes,23,86,1.88,1.93,1.54,1.82,Stable,1.79,Good
22-00070,20,Male,Dorm,Regular,No,12,86,2.19,2.33,2.03,2.15,Stable,2.18,At-Risk
22-00071,23,Female,Dorm,Regular,No,30,91,2.0,1.9,2.0,1.88,Stable,1.96,Good
22-00072,21,Male,Family House,Regular,No,23,88,1.77,2.17,1.69,1.55,Stable,1.82,Good
22-00073,22,Female,Family House,Regular,Yes,23,93,1.79,1.64,2.03,2.12,Declining,1.86,Good
22-00074,22,Female,Family House,Regular,Yes,27,99,1.81,1.69,1.67,1.95,Stable,1.76,Good
22-00075,23,Female,Family House,Regular,Yes,19,87,2.35,2.17,2.1,2.05,Improving,2.19,At-Risk
22-00076,23,Male,Family House,Regular,No,27,92,1.85,1.81,1.9,2.05,Stable,1.88,Good
22-00077,22,Male,Dorm,Regular,No,11,73,2.15,2.14,2.26,2.02,Stable,2.16,At-Risk
22-00078,24,Female,Family House,Irregular,Yes,22,78,2.0,2.07,1.94,2.1,Stable,2.02,Good
22-00079,22,Male,Family House,Regular,Yes,22,88,1.64,2.03,1.72,2.0,Declining,1.82,Good
22-00080,24,Female,Family House,Regular,Yes,21,84,1.68,1.62,1.88,1.77,Stable,1.73,Good
22-00081,24,Male,Dorm,Regular,No,30,82,1.79,1.81,2.03,2.0,Stable,1.89,Good
22-00082,21,Female,Family House,Regular,No,32,90,1.52,1.82,1.6,1.48,Stable,1.62,Excellent
22-00083,20,Male,Family House,Regular,No,26,95,1.8,1.57,1.88,1.5,Stable,1.71,Good
22-00084,22,Female,Family House,Regular,No,22,94,1.76,1.79,1.83,1.88,Stable,1.81,Good
22-00085,22,Female,Family House,Regular,No,11,77,2.12,2.12,2.22,2.12,Stable,2.15,At-Risk
22-00086,23,Male,Family House,Regular,No,35,99,1.5,1.72,1.64,1.55,Stable,1.6,Excellent
22-00087,20,Male,Family House,Regular,No,25,84,2.01,1.93,1.75,1.82,Stable,1.89,Good
22-00088,22,Male,Family House,Regular,No,9,81,2.12,2.17,2.18,2.12,Stable,2.15,At-Risk
22-00089,23,Male,Family House,Regular,No,20,83,2.29,2.21,1.96,1.93,Improving,2.12,At-Risk
22-00090,23,Male,Family House,Regular,Yes,21,86,2.01,2.36,2.12,2.17,Stable,2.16,At-Risk
22-00091,21,Female,Dorm,Irregular,No,31,94,1.95,1.72,1.57,1.48,Improving,1.72,Good
22-00092,21,Male,Family House,Regular,No,25,95,1.57,1.74,1.83,1.52,Stable,1.68,Good
22-00093,20,Male,Dorm,Regular,Yes,34,96,1.36,1.68,1.46,1.4,Stable,1.48,Excellent
22-00094,24,Male,Family House,Regular,Yes,40,100,1.38,1.51,1.32,1.3,Stable,1.39,Excellent
22-00095,22,Male,Family House,Regular,No,23,82,1.92,1.96,1.88,1.9,Stable,1.91,Good
22-00096,24,Female,Family House,Regular,No,12,79,2.18,2.38,2.21,1.95,Stable,2.21,At-Risk
22-00097,24,Female,Dorm,Irregular,No,20,93,2.07,1.76,1.69,1.62,Improving,1.82,Good
22-00098,24,Male,Family House,Regular,No,17,81,2.2,2.11,2.35,2.02,Stable,2.19,At-Risk
22-00099,20,Female,Dorm,Regular,No,20,83,1.92,1.72,2.08,1.95,Stable,1.91,Good
22-00100,22,Female,Family House,Regular,No,21,94,2.11,1.64,1.94,1.93,Stable,1.91,Good
22-00101,24,Female,Dorm,Regular,No,28,91,1.98,1.85,1.81,2.05,Stable,1.91,Good
22-00102,22,Male,Family House,Regular,No,8,71,2.12,2.11,2.01,2.42,Stable,2.13,At-Risk
22-00103,22,Male,Dorm,Regular,No,21,90,1.85,1.86,1.85,1.93,Stable,1.86,Good
22-00104,23,Male,Family House,Regular,No,23,84,2.11,1.9,1.78,1.65,Improving,1.9,Good
22-00105,24,Male,Dorm,Irregular,No,20,83,2.13,1.72,1.49,1.6,Improving,1.77,Good
22-00106,24,Female,Family House,Regular,No,26,84,2.08,2.0,1.76,1.77,Improving,1.93,Good
22-00107,22,Female,Family House,Regular,Yes,40,100,1.6,1.49,1.57,1.43,Stable,1.53,Excellent
22-00108,20,Male,Family House,Regular,No,30,99,1.44,1.29,1.35,1.38,Stable,1.37,Excellent
22-00109,22,Male,Dorm,Regular,Yes,16,92,2.14,1.99,1.96,2.35,Stable,2.08,Good
22-00110,20,Male,Dorm,Regular,No,21,82,1.8,1.68,2.0,2.05,Stable,1.86,Good
22-00111,24,Male,Family House,Regular,Yes,38,100,1.54,1.53,1.47,1.38,Stable,1.49,Excellent
22-00112,22,Male,Family House,Irregular,No,24,87,2.07,1.81,1.51,1.48,Improving,1.76,Good
22-00113,20,Male,Dorm,Regular,No,17,87,1.8,1.92,2.0,1.43,Improving,1.83,Good
22-00114,21,Male,Family House,Regular,Yes,22,92,1.95,1.76,1.82,1.7,Stable,1.83,Good
22-00115,21,Female,Family House,Regular,No,25,91,1.55,1.71,1.72,1.85,Stable,1.68,Good
22-00116,24,Female,Family House,Regular,No,17,84,1.86,1.93,1.69,1.9,Stable,1.84,Good
22-00117,22,Male,Family House,Regular,No,24,93,1.77,1.69,1.96,2.1,Declining,1.85,Good
22-00118,24,Female,Family House,Regular,No,28,85,1.85,1.9,1.65,1.77,Stable,1.8,Good
22-00119,21,Female,Family House,Regular,No,31,98,1.55,1.32,1.83,1.4,Stable,1.54,Excellent
22-00120,23,Male,Dorm,Irregular,Yes,20,85,2.2,1.65,1.64,1.62,Improving,1.82,Good
22-00121,22,Female,Family House,Regular,No,25,82,1.7,1.82,1.82,2.0,Stable,1.81,Good
22-00122,20,Female,Family House,Regular,No,30,85,1.63,1.81,1.61,1.8,Stable,1.7,Good
22-00123,21,Male,Dorm,Irregular,No,28,89,2.14,1.93,1.65,1.68,Improving,1.88,Good
22-00124,21,Male,Family House,Regular,Yes,30,92,1.45,1.6,1.69,1.57,Stable,1.57,Excellent
22-00125,24,Male,Family House,Regular,Yes,14,81,1.95,2.24,1.88,2.4,Declining,2.07,Good
22-00126,23,Female,Family House,Regular,No,28,92,1.52,1.64,1.72,1.98,Declining,1.68,Good
22-00127,21,Female,Family House,Regular,No,17,73,2.13,2.21,2.17,2.08,Stable,2.15,At-Risk
22-00128,21,Male,Family House,Regular,No,8,85,2.1,2.15,2.18,2.17,Stable,2.15,At-Risk
22-00129,21,Female,Family House,Regular,No,23,95,1.79,1.99,1.69,1.55,Stable,1.78,Good
22-00130,21,Male,Dorm,Regular,No,27,80,1.82,2.03,1.88,1.7,Stable,1.87,Good
22-00131,21,Female,Family House,Regular,No,17,81,1.9,1.81,1.75,1.77,Stable,1.82,Good
22-00132,23,Female,Family House,Regular,Yes,14,86,2.08,2.22,2.17,2.1,Stable,2.15,At-Risk
22-00133,21,Male,Dorm,Irregular,No,18,71,2.07,2.17,2.08,2.23,Stable,2.12,At-Risk
22-00134,21,Male,Family House,Regular,No,19,78,2.24,2.31,2.14,2.4,Stable,2.25,At-Risk
22-00135,20,Female,Family House,Regular,No,12,76,2.23,2.38,2.49,2.2,Stable,2.33,At-Risk
22-00136,21,Male,Family House,Regular,Yes,34,89,1.76,1.78,1.69,1.6,Stable,1.72,Good
22-00137,22,Male,Family House,Regular,No,20,80,2.21,2.18,2.15,2.5,Stable,2.23,At-Risk
22-00138,23,Female,Family House,Irregular,No,16,85,2.13,2.0,1.85,1.95,Stable,1.99,Good
22-00139,22,Female,Dorm,Irregular,Yes,36,97,2.17,1.33,1.39,1.4,Improving,1.62,Excellent
22-00140,21,Male,Family House,Regular,No,35,94,1.79,1.96,1.58,1.38,Improving,1.72,Good
22-00141,24,Female,Family House,Irregular,No,18,81,2.17,2.24,2.14,2.15,Stable,2.18,At-Risk
22-00142,22,Female,Family House,Regular,Yes,17,92,1.99,2.26,2.17,2.02,Stable,2.12,At-Risk
22-00143,24,Male,Dorm,Regular,No,11,87,2.26,1.97,2.33,2.5,Stable,2.24,At-Risk
22-00144,21,Male,Dorm,Regular,No,30,96,1.45,1.35,1.74,1.6,Stable,1.52,Excellent
22-00145,22,Male,Family House,Regular,No,27,86,1.9,1.89,1.99,1.68,Stable,1.89,Good
22-00146,20,Male,Family House,Regular,No,28,87,1.76,1.83,1.83,1.88,Stable,1.82,Good
22-00147,24,Male,Dorm,Regular,No,30,86,1.95,2.07,1.92,1.75,Stable,1.94,Good
22-00148,24,Female,Family House,Regular,Yes,17,93,1.62,1.79,2.06,1.8,Stable,1.81,Good
22-00149,24,Male,Dorm,Regular,No,23,91,1.9,1.81,1.92,1.85,Stable,1.87,Good
22-00150,21,Female,Dorm,Regular,No,15,83,2.0,1.82,1.72,2.08,Stable,1.89,Good
22-00151,21,Female,Family House,Regular,No,32,97,1.62,1.67,1.39,1.55,Stable,1.56,Excellent
22-00152,21,Male,Dorm,Regular,Yes,31,88,1.7,1.68,1.76,1.4,Stable,1.67,Good
22-00153,21,Male,Dorm,Regular,Yes,39,93,1.42,1.43,1.62,1.52,Stable,1.49,Excellent
22-00154,21,Male,Dorm,Regular,No,30,91,1.65,1.68,1.82,1.4,Stable,1.67,Good
22-00155,24,Male,Family House,Irregular,No,11,88,2.25,2.33,1.96,2.27,Stable,2.2,At-Risk
22-00156,23,Male,Family House,Regular,No,21,93,1.83,1.97,1.99,1.75,Stable,1.9,Good
